dig_des,dep_id,total_visits,readmissions,readmission_rate_pct,avg_bill_amount
Immunology,DPT305,127,38,29.9,14235.29
Endoscopy,DPT915,150,44,29.3,10843.14
Palliative,DPT110,126,36,28.6,11935.48
Renal,DPT217,155,43,27.7,13555.56
Obstetrics,DPT678,134,37,27.6,11937.5
Endoscopy,DPT305,123,34,27.6,12161.29
Obstetrics,DPT119,134,37,27.6,12941.18
Renal,DPT369,125,34,27.2,13000.0
Cardiac Electrophysiology,DPT845,129,35,27.1,13833.33
Autoimmune Disorders,DPT802,126,34,27.0,15027.03
Neurological,DPT802,152,41,27.0,10682.93
Reproductive - Male,DPT802,145,39,26.9,13333.33
Neurological,DPT678,156,42,26.9,12780.0
Neurological,DPT526,136,36,26.5,11545.45
Sleep Disorders,DPT256,140,37,26.4,10341.46
Sleep Disorders,DPT678,152,40,26.3,12645.16
Sleep Disorders,DPT412,122,32,26.2,14240.0
Endocrine,DPT913,122,32,26.2,13406.25
Oncology,DPT624,134,35,26.1,11971.43
Oral,DPT624,131,34,26.0,12689.66
Hematology,DPT104,147,38,25.9,11894.74
Musculoskeletal,DPT678,143,37,25.9,15880.95
Preventive,DPT902,155,40,25.8,15280.0
Cardiovascular,DPT237,120,31,25.8,11533.33
Infectious,DPT418,152,39,25.7,12770.83
Geriatrics,DPT337,136,35,25.7,12900.0
Otolaryngology,DPT845,113,29,25.7,16305.56
Hepatic,DPT731,148,38,25.7,12294.12
Pediatrics,DPT223,137,35,25.5,14562.5
Sleep Disorders,DPT845,122,31,25.4,13700.0
Respiratory,DPT913,115,29,25.2,12206.9
Toxicology,DPT913,127,32,25.2,13800.0
Ophthalmology,DPT802,139,35,25.2,14315.79
Renal,DPT681,107,27,25.2,11000.0
Radiology,DPT223,123,31,25.2,13677.42
Pediatrics,DPT913,127,32,25.2,14400.0
Geriatrics,DPT305,132,33,25.0,13142.86
Occupational Health,DPT520,160,40,25.0,13368.42
Immunology,DPT845,120,30,25.0,12475.0
Oncology,DPT412,108,27,25.0,14653.85
Palliative,DPT412,124,31,25.0,15230.77
Obstetrics,DPT624,109,27,24.8,12291.67
Palliative,DPT859,125,31,24.8,14323.53
Occupational Health,DPT237,121,30,24.8,11058.82
Pain Management,DPT731,154,38,24.7,13285.71
Pediatrics,DPT217,158,39,24.7,11906.98
Psychiatric,DPT119,134,33,24.6,13200.0
Endocrine,DPT902,126,31,24.6,11432.43
Renal,DPT337,138,34,24.6,12851.85
Psychiatric,DPT104,126,31,24.6,11666.67
Metabolic Disorders,DPT624,122,30,24.6,12080.0
Trauma,DPT902,122,30,24.6,12176.47
Pain Management,DPT589,151,37,24.5,12263.16
Neurological,DPT369,139,34,24.5,13142.86
Autoimmune Disorders,DPT337,135,33,24.4,12193.55
Trauma,DPT237,135,33,24.4,14741.94
Dermatology,DPT237,131,32,24.4,12567.57
Gastrointestinal,DPT624,127,31,24.4,14410.26
Allergy,DPT103,131,32,24.4,12600.0
Oncology,DPT256,119,29,24.4,11586.21
Autoimmune Disorders,DPT526,135,33,24.4,12727.27
Hematology,DPT902,148,36,24.3,13714.29
Neurological,DPT412,128,31,24.2,15724.14
Cardiac Electrophysiology,DPT110,120,29,24.2,11100.0
Urinary,DPT337,132,32,24.2,15131.58
Psychiatric,DPT223,157,38,24.2,10411.76
Autoimmune Disorders,DPT478,120,29,24.2,12933.33
Pediatrics,DPT526,153,37,24.2,11608.7
Hematology,DPT364,112,27,24.1,13777.78
Hepatic,DPT859,141,34,24.1,13789.47
Musculoskeletal,DPT337,141,34,24.1,10062.5
Respiratory,DPT520,162,39,24.1,13775.0
Toxicology,DPT104,125,30,24.0,13032.26
Hepatic,DPT902,146,35,24.0,15368.42
Radiology,DPT369,125,30,24.0,14076.92
Gastrointestinal,DPT412,129,31,24.0,13416.67
Reconstructive,DPT624,125,30,24.0,11939.39
Pediatrics,DPT364,142,34,23.9,13098.04
Immunology,DPT256,159,38,23.9,12750.0
Obstetrics,DPT681,113,27,23.9,14225.81
Respiratory,DPT802,126,30,23.8,14135.14
Reconstructive,DPT902,151,36,23.8,13567.57
Oral,DPT418,151,36,23.8,9972.97
Sleep Disorders,DPT731,122,29,23.8,12783.78
Congenital,DPT103,168,40,23.8,13063.83
Pediatrics,DPT589,156,37,23.7,15100.0
Addiction,DPT237,114,27,23.7,15000.0
Hematology,DPT731,144,34,23.6,12681.82
Toxicology,DPT412,123,29,23.6,13674.42
Obstetrics,DPT364,144,34,23.6,12529.41
Cardiac Electrophysiology,DPT731,140,33,23.6,12925.93
Reconstructive,DPT103,140,33,23.6,11609.76
Trauma,DPT412,127,30,23.6,14820.51
Psychiatric,DPT478,115,27,23.5,13102.56
Oral,DPT223,149,35,23.5,12733.33
Reproductive - Female,DPT412,115,27,23.5,14617.65
Endocrine,DPT520,175,41,23.4,14071.43
Toxicology,DPT902,141,33,23.4,12119.05
Psychiatric,DPT913,124,29,23.4,12562.5
Geriatrics,DPT520,154,36,23.4,14627.91
Dermatology,DPT364,146,34,23.3,14217.39
Endoscopy,DPT742,133,31,23.3,12861.11
Pediatrics,DPT678,133,31,23.3,10925.0
Palliative,DPT119,172,40,23.3,12825.0
Psychiatric,DPT526,116,27,23.3,12466.67
Hepatic,DPT217,168,39,23.2,14688.89
Trauma,DPT624,138,32,23.2,13078.95
Occupational Health,DPT624,130,30,23.1,13868.42
Pain Management,DPT902,121,28,23.1,11763.16
